True Tree: 736.486649572   tree string: [&R] (((seq1:0.1,seq2:0.1):0.1,(seq3:0.1,seq4:0.1):0.1):0.1,((seq5:0.1,seq6:0.1):0.1,(seq7:0.1,seq8:0.1):0.1):0.1);
tree 1 : 767.867139417   tree string: [&R] (((seq1:0.10000,seq2:0.10000):0.10000,(seq7:0.10000,seq8:0.10000):0.10000):0.10000,((seq5:0.10000,seq6:0.10000):0.10000,(seq3:0.10000,seq4:0.10000):0.10000):0.10000):0.00000;
tree 2 : 763.509623136   tree string: [&R] (((seq1:0.10000,seq2:0.10000):0.10000,(seq5:0.10000,seq6:0.10000):0.10000):0.10000,((seq3:0.10000,seq4:0.10000):0.10000,(seq7:0.10000,seq8:0.10000):0.10000):0.10000):0.00000;
tree 3 : 742.091377257   tree string: [&R] (((seq1:0.10000,(seq3:0.10000,seq4:0.10000):0.10000):0.10000,seq2:0.10000):0.10000,((seq5:0.10000,seq6:0.10000):0.10000,(seq7:0.10000,seq8:0.10000):0.10000):0.10000):0.00000;
tree 4 : 747.356604033   tree string: [&R] ((((seq3:0.10000,seq4:0.10000):0.10000,seq2:0.10000):0.10000,seq1:0.10000):0.10000,((seq5:0.10000,seq6:0.10000):0.10000,(seq7:0.10000,seq8:0.10000):0.10000):0.10000):0.00000;
tree 5 : 748.408807584   tree string: [&R] ((seq4:0.10000,(seq3:0.10000,(seq1:0.10000,seq2:0.10000):0.10000):0.10000):0.10000,((seq5:0.10000,seq6:0.10000):0.10000,(seq7:0.10000,seq8:0.10000):0.10000):0.10000):0.00000;
tree 6 : 744.595766457   tree string: [&R] ((seq3:0.10000,((seq1:0.10000,seq2:0.10000):0.10000,seq4:0.10000):0.10000):0.10000,((seq5:0.10000,seq6:0.10000):0.10000,(seq7:0.10000,seq8:0.10000):0.10000):0.10000):0.00000;
tree 7 : 747.879193395   tree string: [&R] (((seq1:0.10000,seq2:0.10000):0.10000,(seq3:0.10000,seq4:0.10000):0.10000):0.10000,((seq5:0.10000,(seq7:0.10000,seq8:0.10000):0.10000):0.10000,seq6:0.10000):0.10000):0.00000;
tree 8 : 747.653912361   tree string: [&R] (((seq1:0.10000,seq2:0.10000):0.10000,(seq3:0.10000,seq4:0.10000):0.10000):0.10000,(((seq7:0.10000,seq8:0.10000):0.10000,seq6:0.10000):0.10000,seq5:0.10000):0.10000):0.00000;
tree 9 : 745.050078328   tree string: [&R] (((seq1:0.10000,seq2:0.10000):0.10000,(seq3:0.10000,seq4:0.10000):0.10000):0.10000,(seq8:0.10000,(seq7:0.10000,(seq5:0.10000,seq6:0.10000):0.10000):0.10000):0.10000):0.00000;
tree 10 : 749.99504961   tree string: [&R] (((seq1:0.10000,seq2:0.10000):0.10000,(seq3:0.10000,seq4:0.10000):0.10000):0.10000,(seq7:0.10000,((seq5:0.10000,seq6:0.10000):0.10000,seq8:0.10000):0.10000):0.10000):0.00000;
